Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Amsterdam, Noord-Holland, Nederland",01/01/2021,42.5,30.4,36.1,25.4,,0.07,0,,7.8,216.21,10.2,6.9,56.4,93.31,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/02/2021,40.1,33.7,36.9,29.4,,0.15,0,,8.3,165.25,9.9,3.1,66.7,97.67,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/03/2021,39.4,37.3,38.5,30.1,,0,0,,15.1,56.04,23.6,8.7,78.5,86.07,Overcast
"Amsterdam, Noord-Holland, Nederland",01/04/2021,38.7,36.8,37.9,26.6,,0.05,0,,20.5,46.25,29.7,16.2,80.5,84.17,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/05/2021,38.6,35.8,37.4,26.6,,0.04,0,,15.5,52.54,26.1,14.2,81.8,88.54,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/06/2021,38.5,35,36.5,26.7,,0.03,0,,14.6,148.71,22.6,16,72.6,86.02,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/07/2021,40.5,34.2,37.3,28.7,,0.34,0,,14.7,300.08,24.1,10.3,77.9,90.86,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/08/2021,40.5,29.4,35.6,24.5,,0.05,0,,6.7,224.63,11.4,12.6,47.3,93.43,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/09/2021,42.4,25.9,32.6,23.6,,0.02,0,,8.3,298.21,19.1,10.7,21.2,89.4,Rain
"Amsterdam, Noord-Holland, Nederland",01/10/2021,40.7,29.7,36.5,24.7,,0,0,,11.2,220.96,15.9,11.5,66.8,87.61,Partially cloudy
"Amsterdam, Noord-Holland, Nederland",01/11/2021,45.8,39.7,42.3,32.1,,0.09,0,,21.9,225.67,30.3,9.6,80.3,86.19,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/12/2021,46.4,35.2,42.2,29.8,,0.49,0,,22.2,293.46,30.3,10.7,53.1,84.02,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/13/2021,43.3,34.3,40.2,27.4,,0.05,0,,18.6,276.88,26.2,13.4,57.4,78.08,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/14/2021,38.6,33.3,35.6,24.5,,0.01,0,,14.1,90.88,21.4,18.4,69.3,78.46,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/15/2021,37,32.4,34.7,23.8,,0,0,,11.5,199.13,16.9,16.8,78.1,77.47,Overcast
"Amsterdam, Noord-Holland, Nederland",01/16/2021,36,30.6,33.9,18.9,,0.08,0,,18.6,185.33,27.8,10.2,78.9,84.53,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/17/2021,45.8,32.1,38.8,24.4,,0.11,0,,15.3,256.67,21.1,5.5,66.6,91.84,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/18/2021,44.4,36.1,41.1,29.4,,0.01,0,,18.7,238.04,24.9,9.1,70.6,88.31,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/19/2021,49.8,41.1,46,31.6,,0.76,0,,29,217.38,41.8,7.4,78.7,90.18,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/20/2021,51.2,45,47.8,36.7,,0.02,0,,24.7,194.83,38.8,17.5,77.9,73.97,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/21/2021,51.1,39,45.1,32.2,,0.33,0,,34,204.71,57.1,14.1,60.1,76.14,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/22/2021,44.6,34.8,40.3,29.4,,0.15,0,,20.1,232.21,27.8,13,48.5,82.65,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/23/2021,42.5,34.4,37.9,28.2,,0.09,0,,14.9,210.25,22.4,12.3,64.9,86.91,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/24/2021,41,31.4,35.2,26.3,,0.05,0,,10.4,230.92,17.2,14.6,57.1,86.41,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/25/2021,42.1,26.6,35.3,21.6,,0.14,0,,21.9,219.83,36.2,9.4,45.8,84.38,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/26/2021,42.9,38.3,40.4,30.9,,0.14,0,,20.4,264.67,39.5,14.2,54.1,82.63,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",01/27/2021,44.6,35.6,40.6,25.1,,0.06,0,,19.3,234,26.3,6.9,80.2,91.82,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/28/2021,42.6,39.1,40.6,32.1,,0.43,0,,11.2,121.54,19.3,6.9,81.6,95.86,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/29/2021,48.6,37.3,44.9,29.5,,0.56,0,,25.1,237.88,35.5,6.5,78.8,90.76,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",01/30/2021,36.6,29.6,33.3,19.6,,0,0,,18.3,67.63,26.3,17.4,67.9,80.14,Partially cloudy
"Amsterdam, Noord-Holland, Nederland",01/31/2021,35.5,25.3,30.1,16.7,,0,0,,13.5,78.75,20.3,10.4,49.7,80.52,Partially cloudy
"Amsterdam, Noord-Holland, Nederland",02/01/2021,34.9,32,33.2,23.2,,0.08,0,,11.2,149.17,19.5,4.5,82.7,92.29,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/02/2021,46.2,31.8,38,26.5,,0.11,0,,13.3,145.83,19.3,3.7,74.2,94.25,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/03/2021,49.2,44.7,46.8,39.5,,0.94,0,,17.4,223.71,29,6.3,76.2,93.64,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/04/2021,47.7,38.4,44.2,32.5,,0.01,0,,17.6,188.58,21.6,7.4,64.6,89.44,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/05/2021,47,40.8,43.5,35.3,,0.18,0,,10.7,106.5,17.8,4.9,72.7,93.36,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/06/2021,43.8,30.6,37.5,16.8,,0.12,0,,27.3,73.63,36.8,4.1,79.5,91.48,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/07/2021,30.3,23.2,25.6,6.6,,0.3,0,,30.7,62.29,45.4,1.7,80.6,85.7,"Rain, Overcast"
